iter	Passed	Remaining
412	3462	21687
413	3467	21658
414	3473	21637
415	3477	21601
416	3485	21591
417	3490	21560
418	3499	21556
419	3509	21555
420	3519	21557
421	3527	21548
422	3532	21521
423	3548	21556
424	3554	21533
425	3557	21495
426	3566	21491
427	3583	21536
428	3595	21546
429	3604	21543
430	3613	21540
431	3622	21531
432	3625	21493
433	3631	21472
434	3635	21437
435	3643	21425
436	3658	21454
437	3667	21453
438	3672	21426
439	3679	21410
440	3686	21389
441	3695	21384
442	3701	21362
443	3708	21348
444	3712	21313
445	3718	21295
446	3729	21303
447	3744	21330
448	3749	21304
449	3757	21294
450	3769	21302
451	3777	21295
452	3788	21301
453	3795	21287
454	3801	21265
455	3807	21243
456	3813	21218
457	3818	21195
458	3829	21199
459	3842	21217
460	3853	21222
461	3860	21206
462	3866	21188
463	3873	21169
464	3885	21184
465	3890	21155
466	3897	21139
467	3901	21107
468	3906	21081
469	3921	21109
470	3927	21086
471	3936	21084
472	3945	21079
473	3954	21071
474	3964	21074
475	3969	21047
476	3973	21017
477	3987	21036
478	3992	21013
479	4000	21001
480	4005	20976
481	4014	20974
482	4024	20970
483	4030	20953
484	4036	20929
485	4044	20920
486	4053	20918
487	4064	20921
488	4075	20929
489	4083	20916
490	4087	20885
491	4094	20869
492	4101	20859
493	4108	20842
494	4115	20825
495	4121	20806
496	4128	20793
497	4136	20781
498	4142	20764
499	4154	20770
500	4157	20737
501	4161	20708
502	4177	20738
503	4184	20721
504	4197	20735
505	4201	20706
506	4214	20722
507	4219	20700
508	4234	20725
509	4240	20705
510	4245	20681
511	4255	20676
512	4259	20651
513	4269	20648
514	4294	20721
515	4347	20929
516	4355	20918
517	4370	20941
518	4395	21013
519	4406	21013
520	4415	21009
521	4421	20988
522	4438	21019
523	4447	21013
524	4462	21038
525	4471	21029
526	4474	20999
527	4479	20971
528	4485	20950
529	4494	20944
530	4501	20930
531	4511	20930
532	4521	20929
533	4537	20955
534	4550	20967
535	4556	20948
536	4566	20944
537	4576	20943
538	4584	20930
539	4595	20934
540	4605	20935
541	4610	20910
542	4619	20902
543	4624	20877
544	4639	20897
545	4644	20873
546	4651	20860
547	4663	20865
548	4672	20861
549	4679	20845
550	4684	20819
551	4692	20809
552	4702	20808
553	4708	20787
554	4717	20781
555	4719	20745
556	4722	20712
557	4731	20705
558	4736	20682
559	4741	20660
560	4753	20666
561	4765	20671
562	4771	20653
563	4775	20624
564	4782	20613
565	4794	20616
566	4804	20618
567	4809	20592
568	4817	20581
569	4824	20569
570	4831	20554
571	4841	20551
572	4846	20529
573	4851	20505
574	4858	20489
575	4865	20475
576	4872	20459
577	4887	20481
578	4897	20479
579	4902	20454
580	4906	20426
581	4911	20404
582	4918	20390
583	4926	20380
584	4933	20366
585	4939	20349
586	4954	20366
587	4965	20367
588	4977	20376
589	4982	20352
590	4990	20343
591	4998	20332
592	5004	20311
593	5017	20323
594	5022	20299
595	5029	20287
596	5034	20266
597	5041	20250
598	5052	20252
599	5062	20251
600	5070	20240
601	5074	20212
602	5084	20212
603	5090	20193
604	5102	20199
605	5109	20186
606	5116	20172
607	5119	20141
608	5124	20118
609	5128	20091
610	5132	20068
611	5141	20060
612	5152	20063
613	5159	20051
614	5163	20024
615	5167	20000
616	5172	19978
617	5179	19962
618	5189	19962
619	5195	19944
620	5200	19922
621	5209	19918
622	5217	19908
623	5223	19889
624	5228	19869
625	5242	19879
626	5255	19892
627	5260	19869
628	5270	19868
629	5285	19882
630	5290	19861
631	5298	19851
632	5309	19854
633	5316	19840
634	5327	19843
635	5334	19828
636	5348	19838
637	5357	19835
638	5366	19829
639	5374	19819
640	5386	19824
641	5391	19802
642	5403	19807
643	5412	19801
644	5424	19806
645	5433	19797
646	5444	19800
647	5450	19784
648	5460	19780
649	5469	19774
650	5478	19767
651	5486	19758
652	5494	19748
653	5502	19737
654	5514	19743
655	5521	19729
656	5532	19729
657	5540	19719
658	5544	19696
659	5548	19671
660	5553	19651
661	5558	19632
662	5564	19614
663	5570	19597
664	5578	19588
665	5584	19571
666	5591	19557
667	5597	19540
668	5603	19525
669	5611	19513
670	5619	19505
671	5626	19490
672	5640	19503
673	5645	19482
674	5652	19469
675	5661	19463
676	5672	19464
677	5682	19462
678	5691	19454
679	5696	19435
680	5701	19414
681	5710	19407
682	5720	19406
683	5730	19404
684	5738	19392
685	5747	19387
686	5752	19367
687	5762	19364
688	5769	19350
689	5780	19351
690	5791	19351
691	5799	19341
692	5805	19327
693	5815	19324
694	5827	19327
695	5843	19342
696	5855	19347
697	5866	19348
698	5879	19353
699	5891	19357
700	5899	19349
701	5909	19344
702	5915	19329
703	5923	19317
704	5931	19310
705	5944	19316
706	5949	19296
707	5955	19278
708	5963	19268
709	5975	19274
710	5983	19262
711	5989	19246
712	6001	19249
713	6023	19285
714	6049	19332
715	6060	19331
716	6071	19333
717	6090	19358
718	6100	19355
719	6107	19340
720	6114	19326
721	6121	19313
722	6129	19302
723	6135	19288
724	6144	19280
725	6149	19260
726	6156	19250
727	6167	19248
728	6182	19259
729	6190	19250
730	6202	19250
731	6212	19249
732	6218	19231
733	6223	19214
734	6229	19195
735	6240	19197
736	6246	19181
737	6255	19173
738	6263	19162
739	6275	19166
740	6284	19157
741	6292	19148
742	6296	19128
743	6310	19134
744	6320	19130
745	6333	19135
746	6350	19154
747	6357	19141
748	6365	19129
749	6376	19130
750	6382	19112
751	6386	19091
752	6393	19077
753	6399	19061
754	6405	19046
755	6420	19056
756	6428	19046
757	6437	19040
758	6446	19033
759	6451	19014
760	6460	19008
761	6467	18993
762	6475	18985
763	6479	18963
764	6487	18953
765	6495	18944
766	6506	18942
767	6514	18933
768	6520	18918
769	6527	18904
770	6535	18894
771	6541	18877
772	6549	18869
773	6555	18852
774	6561	18837
775	6569	18827
776	6579	18825
777	6587	18814
778	6598	18811
779	6606	18801
780	6618	18804
781	6623	18786
782	6631	18775
783	6638	18762
784	6649	18762
785	6658	18756
786	6667	18748
787	6679	18751
788	6685	18734
789	6690	18717
790	6700	18711
791	6709	18704
792	6715	18689
793	6723	18678
794	6730	18667
795	6749	18689
796	6770	18715
797	6780	18709
798	6792	18710
799	6803	18709
800	6816	18712
801	6821	18694
802	6829	18686
803	6840	18683
804	6847	18671
805	6851	18650
806	6858	18639
807	6866	18627
808	6874	18617
809	6885	18616
810	6895	18611
811	6906	18608
812	6918	18611
813	6923	18593
814	6928	18576
815	6936	18564
816	6943	18552
817	6950	18539
818	6956	18524
819	6968	18526
820	6975	18514
821	6984	18505
822	6995	18504
823	7001	18490
824	7004	18467
825	7012	18457
826	7021	18448
827	7035	18454
828	7039	18436
829	7045	18420
830	7052	18408
831	7059	18396
832	7072	18399
833	7082	18394
834	7091	18387
835	7099	18376
836	7102	18353
837	7108	18340
838	7112	18318
839	7122	18314
840	7129	18302
841	7140	18301
842	7150	18296
843	7157	18282
844	7164	18271
845	7175	18270
846	7191	18278
847	7202	18278
848	7210	18267
849	7219	18262
850	7230	18257
851	7240	18255
852	7250	18248
853	7260	18245
854	7265	18228
855	7272	18214
856	7279	18204
857	7291	18202
858	7302	18200
859	7312	18196
860	7323	18195
861	7335	18194
862	7344	18185
863	7354	18181
864	7361	18170
865	7371	18164
866	7379	18156
867	7388	18147
868	7398	18143
869	7404	18128
870	7413	18121
871	7419	18105
872	7426	18093
