iter	RMSE
1091	8882.005298
1092	8880.783851
1093	8876.835019
1094	8870.806067
1095	8864.26364
1096	8857.730485
1097	8856.936737
1098	8855.173598
1099	8848.181087
1100	8842.777707
1101	8834.664786
1102	8833.5847
1103	8826.753287
1104	8821.292186
1105	8815.399639
1106	8807.897404
1107	8803.991685
1108	8800.539769
1109	8799.620193
1110	8799.071137
1111	8794.949538
1112	8791.989097
1113	8784.270106
1114	8783.835236
1115	8778.941433
1116	8770.064929
1117	8763.989012
1118	8758.629432
1119	8746.95608
1120	8740.283974
1121	8739.102971
1122	8732.581121
1123	8728.324259
1124	8720.992613
1125	8714.02631
1126	8705.692683
1127	8696.938023
1128	8687.512175
1129	8685.571123
1130	8680.456349
1131	8675.34459
1132	8671.653061
1133	8670.463332
1134	8663.50021
1135	8653.770677
1136	8645.543728
1137	8640.208232
1138	8639.366253
1139	8634.496
1140	8629.513433
1141	8622.300141
1142	8612.280214
1143	8605.181182
1144	8598.943929
1145	8591.16205
1146	8588.359701
1147	8581.363274
1148	8576.031914
1149	8569.551801
1150	8568.669847
1151	8565.234649
1152	8555.617382
1153	8545.672143
1154	8537.730987
1155	8530.8192
1156	8521.316464
1157	8514.524696
1158	8507.652764
1159	8502.152004
1160	8496.859152
1161	8488.574271
1162	8482.27197
1163	8477.337908
1164	8476.049063
1165	8470.981016
1166	8465.35925
1167	8460.110036
1168	8457.175066
1169	8451.754032
1170	8447.040346
1171	8441.763612
1172	8434.053606
1173	8428.571372
1174	8420.09875
1175	8417.424587
1176	8413.122503
1177	8404.661132
1178	8395.817343
1179	8394.014674
1180	8389.716117
1181	8388.689577
1182	8385.369348
1183	8376.440466
1184	8368.176963
1185	8362.730549
1186	8356.279495
1187	8352.678746
1188	8348.804663
1189	8341.672704
1190	8340.999381
1191	8336.229376
1192	8329.168518
1193	8322.893348
1194	8318.642196
1195	8313.295585
1196	8309.302598
1197	8301.639476
1198	8298.481065
1199	8297.080741
1200	8290.260468
1201	8284.438046
1202	8277.980918
1203	8271.34003
1204	8268.232777
1205	8261.795015
1206	8256.314528
1207	8250.832148
1208	8248.371753
1209	8241.205061
1210	8234.588493
1211	8233.879103
1212	8227.538917
1213	8222.083834
1214	8220.933451
1215	8217.028051
1216	8211.267545
1217	8205.039723
1218	8196.97544
1219	8191.371263
1220	8186.862481
1221	8179.081526
1222	8173.558161
1223	8163.491824
1224	8158.435635
1225	8150.146707
1226	8144.201951
1227	8139.29364
1228	8135.61036
1229	8132.406955
1230	8128.244051
1231	8125.081954
1232	8124.342498
1233	8120.176749
1234	8114.879433
1235	8111.090098
1236	8104.556777
1237	8100.70901
1238	8094.107952
1239	8088.907938
1240	8082.276455
1241	8080.068251
1242	8074.271078
1243	8071.450515
1244	8067.029106
1245	8066.173243
1246	8060.050773
1247	8056.927711
1248	8051.005231
1249	8046.740053
1250	8041.880945
1251	8038.503333
1252	8033.21953
1253	8028.254043
1254	8023.73571
1255	8016.250299
1256	8011.517138
1257	8005.712206
1258	7998.958718
1259	7992.828161
1260	7986.444855
1261	7980.195263
1262	7975.476992
1263	7968.869174
1264	7963.546961
1265	7960.658124
1266	7960.117939
1267	7956.450379
1268	7953.638416
1269	7948.401283
1270	7944.955455
1271	7940.176429
1272	7932.778196
1273	7925.408058
1274	7923.063293
1275	7915.320114
1276	7907.623036
1277	7899.817279
1278	7895.882838
1279	7891.065052
1280	7883.009237
1281	7878.689806
1282	7876.311114
1283	7873.417391
1284	7868.783518
1285	7866.06481
1286	7863.927407
1287	7857.663648
1288	7854.513548
1289	7847.049208
1290	7843.622199
1291	7836.081551
1292	7830.410604
1293	7822.016238
1294	7818.395789
1295	7811.920261
1296	7802.541226
1297	7798.327154
1298	7795.35957
1299	7790.122019
1300	7784.620342
1301	7780.553984
1302	7775.897676
1303	7769.940858
1304	7765.083911
1305	7760.664487
1306	7758.271634
1307	7753.102214
1308	7746.673449
1309	7745.754021
1310	7737.317034
1311	7728.927395
1312	7721.349104
1313	7716.772858
1314	7716.479304
1315	7709.611077
1316	7704.852286
1317	7699.34697
1318	7694.658696
1319	7688.75509
1320	7681.223456
1321	7676.719324
1322	7672.878761
1323	7666.454015
1324	7661.360944
1325	7657.825101
1326	7651.387227
1327	7647.037485
1328	7642.628428
1329	7635.567396
1330	7630.609736
1331	7624.778588
1332	7618.479554
1333	7611.296722
1334	7604.528967
1335	7597.83676
1336	7591.274615
1337	7584.469034
1338	7579.855851
1339	7575.113967
1340	7566.950996
1341	7564.270369
1342	7560.649513
1343	7558.686524
1344	7551.612482
1345	7543.70882
1346	7538.661418
1347	7536.705404
1348	7532.548002
1349	7528.213735
1350	7526.001359
1351	7521.52321
1352	7515.098044
1353	7509.351107
1354	7502.052755
1355	7496.628179
1356	7491.324415
1357	7490.459312
1358	7485.90267
1359	7478.716066
1360	7473.231133
1361	7468.765817
1362	7463.20205
1363	7459.613665
1364	7455.504316
1365	7448.683278
1366	7443.983624
1367	7442.370041
1368	7438.935427
1369	7431.777555
1370	7429.002722
1371	7420.777921
1372	7417.773282
1373	7412.94995
1374	7408.969162
1375	7401.870017
1376	7396.127869
1377	7389.272842
1378	7385.657538
1379	7384.973581
1380	7381.388549
1381	7374.888198
1382	7368.924563
1383	7362.766434
1384	7358.454494
1385	7351.010738
1386	7345.140589
1387	7339.931714
1388	7334.667046
1389	7329.982816
1390	7329.276941
1391	7325.6568
1392	7320.769486
1393	7318.755205
1394	7311.832294
1395	7307.728618
1396	7302.579991
1397	7301.951451
1398	7294.817881
1399	7288.327941
1400	7284.352769
1401	7277.772387
1402	7277.488911
1403	7272.365201
1404	7266.980714
1405	7260.866235
1406	7259.108825
1407	7256.878738
1408	7251.052649
1409	7246.191941
1410	7241.435328
1411	7238.770745
1412	7234.515843
1413	7230.914002
1414	7227.264755
1415	7223.557455
1416	7223.11262
1417	7218.734496
1418	7213.968897
1419	7208.871602
1420	7201.681852
1421	7198.785419
1422	7193.233677
1423	7192.160473
1424	7186.919782
1425	7182.88713
1426	7178.707555
1427	7172.652955
1428	7168.487671
1429	7162.726864
1430	7158.969932
1431	7153.357137
1432	7147.930747
1433	7144.149191
1434	7140.328778
1435	7134.424522
1436	7126.874114
1437	7126.451102
1438	7126.106852
1439	7120.150025
1440	7116.581492
1441	7110.91938
1442	7105.884594
1443	7100.972112
1444	7099.486125
1445	7095.285079
1446	7094.550137
1447	7087.344972
1448	7081.96949
1449	7078.223225
1450	7076.868925
1451	7071.417975
1452	7067.049409
1453	7063.034467
1454	7056.073248
1455	7052.302807
1456	7046.07256
1457	7045.586248
1458	7041.782175
1459	7037.092802
1460	7030.088803
1461	7026.468415
1462	7023.031147
1463	7021.180424
1464	7015.620797
1465	7010.553581
1466	7008.174134
1467	7002.554466
1468	6998.506497
1469	6995.779744
1470	6989.041021
1471	6983.219092
1472	6977.377855
1473	6972.737805
1474	6966.376467
1475	6963.243532
1476	6958.081919
1477	6957.145336
1478	6955.201878
1479	6948.874647
1480	6944.973633
1481	6939.898708
1482	6938.784675
1483	6935.589928
1484	6931.793937
1485	6929.238046
1486	6928.461566
1487	6923.704793
1488	6918.89207
1489	6913.027525
1490	6912.507327
1491	6908.137967
1492	6903.638279
1493	6898.792525
1494	6893.973154
1495	6889.781647
1496	6883.979587
1497	6878.455537
1498	6869.590598
1499	6864.745189
1500	6862.473991
1501	6855.996356
1502	6852.663961
1503	6850.403866
1504	6846.03558
1505	6843.245848
1506	6836.249869
1507	6833.209061
1508	6832.813593
1509	6829.097278
1510	6824.471874
1511	6819.792193
1512	6816.321799
1513	6814.795617
1514	6812.34339
1515	6810.859831
1516	6808.505284
1517	6808.051752
1518	6804.267377
1519	6803.407304
1520	6802.630511
1521	6796.177904
1522	6789.882187
1523	6789.454915
1524	6785.051278
1525	6778.376809
1526	6773.530939
1527	6768.253323
1528	6762.111467
1529	6756.876772
1530	6752.973906
1531	6747.46004
1532	6742.696409
1533	6740.954946
1534	6732.807556
1535	6728.026742
1536	6724.669617
1537	6719.416581
1538	6718.128307
1539	6716.658601
1540	6713.370737
1541	6709.601338
1542	6703.927758
1543	6703.449361
1544	6699.684642
1545	6694.269546
1546	6689.138833
1547	6683.940088
1548	6680.742675
1549	6677.299972
1550	6676.847064
1551	6676.140161
1552	6675.836379
1553	6672.637549
1554	6667.295517
1555	6663.033029
1556	6659.245687
1557	6652.635115
1558	6648.540664
1559	6645.763022
1560	6639.738005
1561	6636.248032
1562	6634.71381
1563	6632.058071
1564	6627.108327
1565	6623.183524
1566	6620.550194
1567	6618.359884
1568	6613.674556
1569	6612.747296
1570	6606.689245
1571	6600.289552
1572	6595.923931
1573	6591.159449
1574	6585.225098
1575	6578.408584
1576	6577.756619
1577	6574.32424
1578	6570.049432
1579	6567.837474
1580	6566.875703
1581	6564.070791
1582	6561.248407
1583	6560.41427
1584	6555.008566
1585	6550.743698
1586	6547.672578
1587	6546.16846
1588	6543.530773
1589	6537.699441
1590	6531.683749
1591	6530.049667
1592	6523.687395
1593	6523.170624
1594	6519.411266
1595	6515.701723
1596	6511.941982
1597	6510.474795
1598	6504.228858
1599	6499.428545
1600	6497.056204
1601	6493.396297
1602	6487.896932
1603	6484.342811
1604	6482.862712
1605	6478.081701
1606	6475.853595
1607	6475.11653
1608	6474.600294
1609	6470.416842
1610	6467.736955
1611	6462.614541
1612	6460.651928
1613	6455.64232
1614	6450.102791
1615	6449.442833
1616	6444.522991
1617	6443.643779
1618	6439.930296
1619	6437.048689
1620	6433.775016
1621	6431.803671
1622	6426.803745
1623	6421.487191
1624	6419.127011
1625	6415.120126
1626	6412.138399
1627	6409.05789
1628	6404.12265
1629	6400.94453
1630	6400.513792
1631	6397.430205
1632	6396.026097
1633	6393.066085
1634	6388.877263
1635	6382.913978
1636	6378.427302
1637	6375.14664
1638	6370.746089
1639	6366.252514
1640	6362.088686
1641	6356.590569
1642	6352.119139
1643	6347.727998
1644	6342.670037
1645	6339.124527
1646	6335.077256
1647	6328.641226
1648	6325.869603
1649	6321.514257
1650	6319.774413
1651	6316.767062
1652	6310.771492
1653	6309.019614
1654	6308.678322
1655	6306.862206
1656	6302.231507
1657	6301.579587
1658	6300.132806
1659	6297.175277
1660	6291.51967
1661	6288.800772
1662	6288.346029
1663	6285.703259
1664	6285.345183
1665	6283.938816
